length,diameter,wave_speed,initial_velocity,initial_pressure_head,max_pressure_head,min_pressure_head,joukowsky_rise,wave_period,head_margin,velocity_ratio,pipe_aspect,safe_tc,is_safe
3141.03,3.848,1630.3,5.73,92.02,141.73,15.11,952.308,3.8533,0.54025,0.03448,816.34,10.937,True
3187.04,1.548,1140.5,3.281,375.1,527.97,65.05,381.431,5.589,0.40755,0.028222,2058.76,3.525,True
1884.97,2.282,1265.5,0.979,341.39,478.86,55.89,126.244,2.979,0.40267,0.007586,826.175,1.5,True
1547.2,7.783,1671.7,6.338,126.18,168.66,7.14,1080.053,1.851,0.33669,0.037191,198.788,6.791,True
786.3,5.655,1493.7,7.756,170.78,221.7,20.57,1181.013,1.0528,0.29818,0.05094,139.056,3.551,True
919.99,1.561,1170.8,2.202,287.74,381.21,50.33,262.792,1.5715,0.32486,0.018448,589.202,1.5,True
2861.01,2.912,1598.7,6.536,191.74,242.62,29.22,1065.112,3.5791,0.26533,0.040105,982.653,11.004,True
731.06,2.079,608.8,6.402,286.05,409.64,47.8,397.321,2.4015,0.43207,0.103153,351.586,1.744,True
1943.88,4.809,767.8,1.359,287.26,384.48,38.72,106.357,5.0638,0.33844,0.017364,404.244,2.253,True
3107.0,5.297,1264.3,4.694,163.34,189.86,18.87,604.961,4.915,0.16233,0.036422,586.567,16.335,True
1015.42,3.623,1624.1,2.255,79.82,100.78,7.51,373.249,1.2505,0.26255,0.013618,280.262,3.326,True
2715.28,4.722,1540.7,5.482,198.17,292.42,14.87,861.013,3.5248,0.47561,0.034908,575.023,5.324,True
286.31,1.266,1466.8,3.964,114.83,155.07,8.37,592.725,0.3904,0.35042,0.026511,226.087,1.5,True
2846.02,3.902,1057.2,2.761,274.3,355.14,17.32,297.59,5.3839,0.29473,0.025622,729.457,4.242,True
648.42,7.718,1690.3,5.748,150.4,231.26,25.09,990.366,0.7672,0.53767,0.033359,84.014,1.5,True
2924.18,3.925,926.7,1.223,366.88,488.8,29.48,115.523,6.311,0.33231,0.012946,744.962,2.686,True
1362.64,4.886,812.1,6.925,317.9,457.07,36.5,573.258,3.3557,0.43779,0.083645,278.873,2.838,True
2583.77,4.922,1379.8,1.133,201.37,234.93,24.99,159.408,3.7451,0.16665,0.008058,524.909,3.481,True
1453.47,1.669,724.1,4.907,118.0,179.37,16.19,362.214,4.0147,0.52005,0.066485,870.614,4.345,True
1518.11,4.973,627.4,7.689,223.98,327.71,13.98,491.736,4.8396,0.46309,0.120235,305.283,4.492,True
2049.3,4.231,1725.4,4.788,220.99,277.73,22.04,842.111,2.3755,0.25679,0.027223,484.327,5.384,True
2178.56,3.848,625.9,6.697,364.69,439.86,48.54,427.319,6.961,0.2061,0.104962,566.161,7.333,True
612.59,5.575,937.5,5.446,307.18,447.7,20.32,520.409,1.3069,0.45746,0.056985,109.89,1.5,True
3680.85,2.304,644.9,4.661,186.11,275.8,31.87,306.433,11.4153,0.48192,0.070908,1597.878,8.593,True
1405.13,7.651,949.1,4.363,147.03,224.13,10.98,422.106,2.961,0.52442,0.045096,183.642,3.036,True
370.66,3.82,1790.9,7.188,314.53,473.78,57.88,1312.118,0.4139,0.50632,0.039372,97.039,1.5,True
2171.66,2.938,1526.4,5.462,187.04,222.17,30.3,849.947,2.8454,0.18779,0.035106,739.195,9.978,True
1197.35,7.532,889.2,1.421,342.58,414.97,26.34,128.769,2.6932,0.21131,0.015674,158.96,1.5,True
2477.65,7.072,835.7,2.827,324.32,499.04,40.58,240.871,5.9294,0.53873,0.033189,350.359,2.862,True
746.81,0.703,875.6,1.489,290.4,348.12,36.58,132.87,1.7059,0.19873,0.016679,1062.125,1.5,True
2838.2,4.9,839.7,6.531,303.24,438.36,21.12,559.044,6.7598,0.44559,0.076296,579.193,5.734,True
670.26,7.464,1077.1,2.757,226.12,319.99,43.72,302.719,1.2446,0.41515,0.025111,89.8,1.5,True
1288.5,7.444,629.8,4.664,275.55,328.56,19.58,299.442,4.0916,0.19236,0.072644,173.102,4.291,True
1792.63,7.75,1315.3,7.498,333.48,445.85,55.93,1005.232,2.7259,0.33695,0.055923,231.304,4.049,True
267.78,1.408,1595.3,6.476,139.1,189.49,19.6,1053.156,0.3357,0.36231,0.039823,190.23,1.5,True
3497.41,5.063,1095.1,3.306,204.8,288.93,36.89,369.09,6.3875,0.41077,0.029619,690.779,5.63,True
1924.81,2.434,884.0,6.095,337.63,402.5,20.25,549.24,4.3548,0.19211,0.06764,790.796,6.193,True
2458.85,1.682,1589.6,2.828,108.92,165.38,8.15,458.165,3.0937,0.51839,0.01745,1462.136,4.255,True
1281.94,1.737,738.6,0.659,78.83,96.17,4.57,49.586,3.4713,0.21986,0.008748,738.128,2.357,True
2446.35,5.637,1072.4,2.885,231.54,347.31,41.14,315.36,4.5626,0.5,0.026392,433.958,3.016,True
365.21,1.943,884.1,2.37,254.22,334.68,14.59,213.625,0.8262,0.3165,0.026302,187.951,1.5,True
1619.73,4.476,722.0,6.751,77.67,118.05,5.04,496.862,4.4868,0.51994,0.091726,361.889,8.662,True
3405.58,7.28,1775.5,6.515,325.02,457.3,54.23,1179.167,3.8362,0.40699,0.035998,467.824,5.682,True
711.3,4.567,1217.1,6.932,217.35,283.43,31.72,859.985,1.1689,0.30404,0.055873,155.751,2.366,True
1212.56,1.634,1173.5,3.627,139.07,180.38,14.6,433.815,2.0667,0.297,0.030319,741.951,3.496,True
1444.48,3.408,1422.9,2.727,382.61,580.25,46.73,395.476,2.0303,0.51654,0.018798,423.846,1.5,True
1447.77,4.562,1618.3,5.394,333.49,454.58,48.34,889.869,1.7893,0.36309,0.032701,317.34,2.279,True
1294.99,6.038,842.9,5.711,352.64,424.18,50.13,490.694,3.0728,0.20284,0.066468,214.466,3.715,True
561.36,5.97,701.4,7.52,106.72,163.66,18.16,537.63,1.6007,0.53355,0.105172,94.026,2.483,True
2455.99,6.391,1554.1,7.595,146.15,202.57,9.39,1203.261,3.1606,0.38603,0.047942,384.264,9.881,True
2541.43,1.868,1277.9,4.793,218.43,296.86,35.95,624.41,3.9774,0.35905,0.036795,1360.832,5.389,True
3237.13,4.242,1319.5,7.484,100.71,120.53,6.36,1006.686,4.9066,0.19684,0.055642,763.126,34.491,True
2699.88,3.698,1529.2,5.534,173.44,261.78,28.51,862.678,3.5311,0.50935,0.035503,730.151,5.629,True
1228.03,3.295,977.3,1.682,110.25,168.07,12.75,167.579,2.513,0.52445,0.016884,372.693,1.719,True
1656.62,6.0,1263.6,7.521,325.3,436.47,34.63,968.76,2.6221,0.34175,0.05839,276.118,3.815,True
3949.2,5.911,1741.4,1.389,349.18,490.54,23.84,246.497,4.5356,0.40483,0.007822,668.062,2.409,True
2435.38,5.677,614.8,3.907,340.64,431.98,40.46,244.864,7.923,0.26814,0.062352,428.982,5.192,True
1880.79,2.834,1702.1,6.36,97.6,151.16,17.75,1103.471,2.2099,0.54881,0.036653,663.592,6.696,True
1278.85,6.793,727.7,7.993,286.33,403.74,18.2,592.94,3.5148,0.41005,0.107756,188.259,3.407,True
3608.73,0.815,889.0,1.573,324.1,398.41,60.48,142.517,8.1187,0.22928,0.017354,4430.08,4.499,True
2693.82,0.868,606.5,0.887,266.01,391.2,22.82,54.867,8.8829,0.47059,0.014354,3104.898,3.181,True
3427.75,1.024,1561.2,7.458,322.52,460.96,56.67,1186.935,4.3913,0.42925,0.046868,3348.997,6.307,True
352.57,2.093,749.9,4.284,313.36,439.34,55.68,327.482,0.9403,0.402,0.056041,168.439,1.5,True
789.81,6.036,831.6,2.531,301.37,464.73,42.71,214.541,1.8994,0.54208,0.029852,130.846,1.5,True
407.1,5.161,650.8,7.131,301.26,367.31,19.21,473.095,1.251,0.21925,0.107489,78.885,1.563,True
897.43,7.852,1150.3,6.381,276.38,381.12,19.84,748.159,1.5604,0.37897,0.054416,114.29,1.945,True
3794.89,2.83,1293.6,5.748,280.74,428.47,20.29,758.017,5.8671,0.52624,0.043592,1340.982,5.749,True
